Actual Diagnosis,Suggested Diagnosis 1,Suggested Diagnosis 2,Suggested Diagnosis 3
Activated PI3K-Delta Syndrome,Combined Immunodeficiency with Childhood-Onset Kaposi Sarcoma,Moniliasis Oral,Eczema Allergy
Leukocytoclastic Vasculitis,Leukocytoclastic Vasculitis Cutaneous,Atrophy Striatonigral,Angiitis Allergic Cutaneous
Malignant Neoplasm of the Splenic Flexure,Malignant Neoplasm of Splenic Flexure Colon,3 Hydroxy 3 Methylglutaryl Coenzyme a (hmg Coa) Reductase Inhibitor,Cardiac Neoplasm
Monoclonal Gammopathy of Undetermined Significance,Fibropapilloma Benign,Malignant Areola Tumor,Monoclonal Gammopathy Benign
Hidrotic Ectodermal Dysplasia,Affective Disturbances,Ectodermal Dysplasia Hidrotic,CPEO with Ragged Red Fibers
Scimitar Syndrome,Scimitar Anomaly,Hypogenetic Lung Syndrome,Papillitis Optic Nerve
Pulmonary Valve Insufficiency,Myopathic Myasthenic Syndrome of Eaton Lambert,Follings Dis,Malignant Areola of the Breast Tumor
Dissociative Identity Disorder,Schwartz Jampel Disease,Zeta-Associated-Protein 70 Deficiency,Dissociative Identity Disorder
Periapical Abscess,Abscess Apical Alveolar,Periapical Dental Abscess,Iddm Insulin Dependent Diabetes Mellitus
Dilatation and Curettage,GSD Type VI,Bromocriptine [chemical/ingredient],D & C
Encephalocele,Bifid Craniums,Valve Incompetence Pulm,Encephaloceles
X-Linked Lymphoproliferative Disorder,Renal Colic (& Symptom),Syndromes X Linked Lymphoproliferative,X-Linked Lymphoproliferative Disorder
Oral Candidiasis,Candidiasis Thrush,Liver Failures Fulminant,Thrush
Mood Disorder,California Encephalitis (viral),Disorder Affective,Unspecified Mood Affective Disorder
Guillain-Barré Syndrome,Landry Guillain Barre Syndrome,Acute motor axonal neuropathy,Small Cell Carcinoma of Lung
Beckwith-Wiedemann Syndrome,Paget Anal Margin,Beckwith-Wiedemann Syndrome,Vasculitis Allergic Cutaneous
Leigh's Disease,Hepatorenal Tyrosinemia,Prostate Disorders,MILS
Bell's Palsy,Acute Idiopathic Facial Neuropathy,Sanfilippo Syndrome B,Bell's Palsy
AIDS Dementia Complex,Cms Ea,Post Infectious Arthritis,Vitamin B6 Defic
Common Cold,Infective Nasopharyngitis,Disease Leigh,Rhinitis Infective
Diverticulosis,LEMS,Intestinal Diverticuli,Diverticular Disease Intestine
Hepatic Encephalopathy,Morquio Syndromes,Syncopes Neurogenic,Portosystemic Encephalopathies
Sulfamethoxazole-Trimethoprim,Co Trimoxazole [generic] (product),Drug Chemotherapeutic Anticancer,Southeast Asian Ovalocytosis
Onychocryptosis,Ingrown Toenails,Fingernail Ingrown,Hernia Cerebral
Striatonigral Degeneration,Atrophy Striatonigral,Familial Infantile Bilateral Striatal Necrosis,"MSA, Parkinsonian Type"
Schwartz-Jampel Syndrome,Schwartz-Jampel Syndrome,Intestine Pseudoobstruction,Congenital Myotonic Chondrodystrophy
Statin,Inhib Hmg Coa Reductase,Personality Disorder Multiple,Glomus Caroticum Tumor
Gorlin Syndrome,Insulin Dependent Diabetes Mellitus 1,Multiple Basal Cell Nevi Odontogenic Keratocysts and Skeletal Anomalies,Bcns Basal Cell Nevus Syndrome
Acute Liver Failure,Fulminant Hepatic Failures,Hepatic Failures Fulminating,Acute Hepatic Failure
Dermatofibroma,Type I Hypertyrosinemia,Histiocytoma Cutaneous,Benign Fibrous Cutaneous Histiocytoma
Aphasia,Syndromes Chronic Fatigue Fibromyalgia,Sanfilippo B Disease,Aphemias
Pineal Gland Neoplasm,Korsakoff's Psychosis Alcohol Related,Neoplasm of Pineal Gland,Pineal Neoplasms
Hereditary Elliptocytosis,Dissociative Identify Disorder,Syndrome Fatigue Postviral,Hereditary Hemolytic Elliptocytosis
Intestinal Pseudo-Obstruction,Congenital Short Bowel Syndrome,Leriche's Syndrome,Pseudoobstruction Intestinal
Amphetamine,Beckwith Wiedemann,Α Methylphenethylamine,Pseudo Obstructions Intestinal
Low Sodium Diet,Diverticular Disorder,Colic Kidney,Low Sodium
Malignant Neoplasm of the Areola,Malignant Tumor of Areola,Liver Failures Fulminant,Eccentro Osteo Chondrodysplasia
Diabetes Mellitus Type 1,Paget's Disease Perianal Skin,Diabetes Mellitus Type 1,Prosthesis Implantations Joint
Familial Infantile Myasthenia,Colds,CMS1A2 Formerly,Few Bowel Movements
Disorder of Sulfur-Bearing Amino Acid Metabolism,Hepatic Failure Acute,MOCOD,Blood Tumor
Lambert-Eaton Syndrome,Myasthenic Myopathic Syndrome of Eaton Lambert,California Meningoencephalitis (viral),LEMS
Hallervorden-Spatz Syndrome,Cardiac Tumours,Brain Iron Accumulation Type I Syndrome,Epstein Barr Virus Induced Lymphoproliferative Disease in Males
Bromocriptine,Myasthenic Syndrome Eaton Lambert,Bromoergocryptine,Colic Kidney
Pancreatic Disease,Swollen Optic Disc,Aortoiliac Obstruction,Pancreatic Disease
Gaucher Disease Type 2,Incontinence of Bowel,Diabetes Mellitus Type I,Paget Disease Perianal
Tyrosinemia Type 1,Diamond-Blackfan Anaemia,Tyrosinaemia Type I,3 Hydroxy 3 Methylglutaryl Coenzyme a Reductase Inhibitor
Citrullinemia,2 Br Alpha Ergocryptine,Huebner Herter Disease,Dissociation Auriculoventricular
Spinal Tuberculosis,Pineal Parenchymal Tumors,Spinal Tuberculosis,Ophthalmoplegia - Pigmentary Degeneration of Retina - Cardiomyopathy
Idiopathic Intracranial Hypertension,Schwartz,Inflamm Facial Neuropathy Acute,Cutaneous Histiocytomas
Leriche Syndrome,Syndrome Aortic Bifurcation,Aortic Occlusion Distal Chronic,Multiple Nevoid Basal Cell Carcinoma Syndrome (mnbccs)
Antineoplastic Agent,Cancer Chemotherapy Agents,Disorders Prostate,78 Antineoplastic Agents
Shoulder Dislocation,Deviated Septums,Dislocations Shoulder,Dislocation of Shoulder Joint [glenohumeral Joint]
Diaper Rash,Diaper Rashes,Napkin Dermatitis,Syndrome Wiedemann
California Encephalitis,Constipated,California Meningoencephalitis Virus Disease,California Encephalitis
Chronic Fatigue Syndrome,Periodontitides Suppurative Periapical,Low Sodium Diets,Hematol Malignancy
Nonsteroidal Antiinflammatory Drug,Congenital Pure Red Cell Aplasia,Nonsteroidal Antiinflammatory Agents,NSAID%27s Toxicity
Glycogen Storage Disease Type 6,Cms Ea,GBS,Aganglionosis
Papilledema,Tuberculosis of Spinal Cord,Malignant Tumor of the Areola,Optic Disc Inflammation
Atopic Dermatitis,Decrease in Sodium Content of the Diet Compared to the Assessed Baseline Intake of Sodium for the Individual,Dermatofibroma No Icd O Subtype (morphologic Abnormality),Pulmonary Venolobar Syndrome
St. Louis Encephalitis,St Louis Encephalitis (sle),St. Louis Encephalitis,St Louis Viral Disease
Carotid Body Tumor,Infantile Form of Coeliaque Disease,Tumours Carotid Body,Combined T and B Cell Immunodeficiency
Follicular Thyroid Carcinoma,Follicular Thyroid Carcinoma,Ftc Follicular Thyroid Carcinoma,Carcinoma Follicular Thyroid
Arthrogryposis Syndrome,Beals Syndrome,Erythemato Vesiculo Papulous Eruptive Syndromes,Cutaneous Leukocytoclastic Vasculitis
Classical Phenylketonuria,Classic Phenylketonuria,Dissociation Auriculo Ventricular,WBS
Constipation,Constipation,Dislocation of Shoulder Joint [glenohumeral Joint],Megacolon Congenital
Hematologic Neoplasm,Dilatation of Cervix and Curettage of Uterus,Carcinoma Bone Marrow,Cranium Bifidums
VIPoma,Vip Oma Vip Secreting Tumour,Napkin Eruption,Vasoactive Intestinal Peptide Secreting Tumor
AV Block Mobitz II,Incomplete Atrioventricular Block Mobitz II,Coronary Infarction,AV Block Mobitz II
Graves Disease,Dermatofibroma No International Classification of Diseases for Oncology Subtype,Renal Colic Symptom,Presynaptic Congenital Myasthenic Syndromes
Vagus Nerve Injury,Ingrowing Nails,Palsies Traumatic Tenth Nerve,Fatigue Disorders Chronic
Fecal Incontinence,Congenital Pulmonary Venolobar Syndrome,Neoplasms Hematologic,Distal Arthrogryposis Type 2B
Vasovagal Syncope,Fainting Fit due to Vagal Nerve Stimulation,Paget's Disease Perianal Skin,Syndrome Kearns Sayre Shy Daroff
Abruptio Placentae,Pregnancy Placenta Separation Premature,Premature Separation of Placenta Unspecified as to Episode of Care,Premature Separation of Placenta Unsp Unsp Trimester
Cryptorchidism,Testicle Undescended,Rash Napkin,Imperfectly Descended Testis
Kearns-Sayre Syndrome,Combined Immunodeficiency with Hypereosinophilia,Syndrome Kearns Sayre Shy Daroff,Kearns Sayer Syndrome
Ornithine Transcarbamylase Deficiency,Antineoplastic Drugs,Finger Ingrown Nail,Mgus Mono Gammop Uncert Signif
Childhood Celiac Disease,Tumor of the Pineal Gland,Congenital Malformations of the Brain,Insulin Dependent Diabetes
Diamond-Blackfan Anemia,Hereditary Pure Red Cell Aplasia,Diamond-Blackfan Anemia,Infantile Cerebral Gaucher Disease
Small-Cell Carcinoma of the Lung,Pineal Gland Tumors,Small-Cell Carcinoma of the Lung,Mood Disorders
Perianal Paget Disease,Paget Perianal Skin,Paget Disease of the Perianal Skin,Familial Infantile Striatonigral Degeneration
Atrioventricular Dissociation,Dissociation Av,CTLN1,Wernicke Disease
Tumor of the Heart,Diverticuli Intestinal,Neopl Heart,Cardiac Tumour
Gianotti-Crosti Syndrome,Gianotti-Crosti Syndrome,Paget Disease of Anal Margin,GSD Type 6
Fatty Liver,Fat Liver,Unspecified Disorder of Prostate,Liver Fatty Change
Wernicke Encephalopathy,Wernickes,Bcns Basal Cell Nevus Syndr,Wernicke
Hirschsprung Disease,Basedow Dis,Myocardial Infarct,Traumatic Vagus Nerve Injury
Myocardial Infarction,MI,Myocardial Infarcts,AMI
Bonnemann-Meinecke-Reich Syndrome,Encephalopathy - Intracerebral Calcification - Retinal Degeneration Syndrome,Cortical Dysplasia Type Taylor,Ovalocytosis
Replacement Arthroplasty,Leukemia Myeloid Acute M5,Cephaloceles,Periodontitis Apical Suppurative
Pituitary Cushing Syndrome,Pituitary-Dependent Hypercortisolisms,Wiedemann Beckwith Syndromes (wbs),Pituitary Cushing Syndrome
Acute Monocytic Leukemia,Leukemia Myeloid Schilling Type,Acute Monoblastic Leukemias,Histiocytoma
Renal Colic,Tuberculoses Spinal,Ureteric Colic,Optic Papilla Edema
Thrombotic Thrombocytopenic Purpura,Vagal Attack,Disease Moschkowitz,OTC
Mucopolysaccharidosis Type 3B,Ornithine Transcarbamoylase Deficiency,Deficiency Alpha N Acetyl D Glucosaminidase,Mucopolysaccharidosis Type 3B
Reactive Arthritis,Post-Bacterial Arthropathy,Reiters Syndrome,Reiter's Syndrome
Deviated Nasal Septum,Defic Vitamin B 6,Deviated Septum of Nose,Hydroxymethylglutaryl Coa Reductase Inhib
Vitamin B6 Deficiency,Ornithine Transcarbamylase Deficiencies,Palsy Bell's,Combined Deficiency of Sulfite Oxidase Xanthine Dehydrogenase and Aldehyde Oxidase Type A
Mucopolysaccharidosis Type 4,Enceph Subacute Necrotizing,Hers' Disease,Nasal Catarrh Acute
Acrochordon,Polyp(s) Skin,Absence of Testes in Scrotum,Acrochordons (skin Tag)
Prostatic Disease,Smz Tmp,Diseases Prostatic,Distal Arthrogryposis Type 2B
